Namee,Email  ,Contact,City,Referencee,Handled_By,Leadd,Converted,To_Be_Converted
dinakar reddy k,niggmngrgygn@gmgil.com,9449492229,Chittoor,PZ VIP,Ronak Jadhav,End Lead,NO,NO
Sagar chand,Ng,9142241233,mysore,Calling,Deepali Kasatwar,Active lead,NO,NO
Sammer,Ng,9887774297,Rourkela,Calling,Roshan Patil,End Lead,NO,NO
Gaurav,Ng,9122991922,kendrapara,whatsapp,Kiran Dhakal,Active lead,NO,NO
Farham,Ng,9.73E+09,baragur,whatsapp,Pooja Melwani,Active lead,NO,NO
Danish,Ng,9242474422,Konarka,whatsapp,Manisha Parte,Active lead,NO,NO
Shaik Naseer,sggikngseer1921@gmgil.com,9882812921,Bangalore,FB,Anchal Mishra,Active lead,NO,NO
V Karuppusamy,kgruppusgmyv860@gmgil.com,9222723248,Tamilnadu,FB,Nilesh Shinde,Active lead,NO,NO
Abhisek Roy,gggisekroy161616@gmgil.com,8348324313,Berhampore,FB,Deepali Yadav,End Lead,NO,NO
Prakash Gupta,prgkgsgguptg1128@gmgil.com,9221293782,sitamarhi,FB,Ritik Yadav,End Lead,NO,NO
farhan,Sgggistggnjum74@gmgil.c,9432299992,Mumbai,FB,Abhijeet Bramhane,Hot lead,NO,YES
yesubabu katuri,kgturimgnojkumgr007@gmgil.com,9799289328,Nashik,FB,Akash Sharma,Hot lead,YES,Coverted
Santosh Sah,sggsgntosg903@gmgil.com,9924413931,Dibrugarh,FB,Suryakant Choudhary,End Lead,NO,NO
Abhay Pandey Řj,ggggypgndey632@gmgil.com,9928423222,Vaidpura Etawah,FB,Sushant Nikam,End Lead,NO,NO
zubair Raza,zuggirrgzg.c@gmgil.com,9113291248,Bangalore,FB,Azimuddin Mohd,Active lead,NO,NO
Rahul Rajput,rggul_rgjput47@yggoo.in,8429339232,Surat,FB,Tamanna Sahu,Active lead,NO,NO
Mrinmay Ghosh,mrinmgyggosg2015@gmgil.com,7292732232,Barnia,Insta,Rohit Sonar,End Lead,NO,NO
Yogesh Rahate,yogesgrgggte1431@gmgil.com,8972148998,Sengaon,Insta,Ronak Jadhav,End Lead,NO,NO
Geeta Singh,singggeetg925@gmgil.com,9282788117,Bareilly,Insta,Deepali Kasatwar,Active lead,NO,NO
Javed Hussain,jgved.fms01@gmgil.com,9421297929,Udaipur,Insta,Roshan Patil,Active lead,NO,NO
Parveen kumar,pgrveenkumgr0341986@gmgil.com,8229822312,Karnal,Insta,Kiran Dhakal,End Lead,NO,NO
Vinod Gupta,principglvinodguptg1956@gmgil.com,9223922217,Kaimganj,Insta,Pooja Melwani,End Lead,NO,NO
Khan Bashir,kggnggsgirkggn830@gmgil.com,9992998993,Sopore,Insta,Manisha Parte,End Lead,NO,NO
Hari Kumar,ggrikumgr59760@gmgil.com,9982722972,Tirupathi,Insta,Anchal Mishra,Active lead,NO,NO
Gnana Sekaran.M,sekgrgngng028@gmgil.com,8879294821,Karur,Insta,Nilesh Shinde,End Lead,NO,NO
Raghu Raghav,rgggurggggv417@gmgil.com,9449129999,Mysore,Google Ad,Deepali Yadav,Active lead,NO,NO
Pardeep Vishwakarma,pgrdeepsgivsggkti@gmgil.com,9219222321,shamli,Google Ad,Ritik Yadav,Active lead,NO,NO
Dharma,pulsgrdggrmg.66@gmgil.com,9947972727,Kanchipuram,Google Ad,Abhijeet Bramhane,End Lead,NO,NO
Karthik A,Kgrtgik.eswgr12@gmgil.com,7981283189,Kadapa,Google Ad,Akash Sharma,End Lead,NO,NO
Ekta Singh,drektg@gmgil.com,8722229291,Varanasi,Google Ad,Suryakant Choudhary,Active lead,NO,NO
Santhosh Teepireddy,teepireddy.sgntgosg@gmgil.com,9949324232,jagtial,Google Ad,Sushant Nikam,Active lead,NO,NO
Shravan Gupta,sgrgvgnguptg262@gmgil.com,9412149923,sitapur,Google Ad,Azimuddin Mohd,Active lead,NO,NO
Arun Kumar Devara,grunmglgkgr1999@gmgil.com,9227971222,Ajmer district,Google Ad,Tamanna Sahu,Active lead,NO,NO
आनंद श्रीवास्तव,gngndgul33@gmgil.com,9422947423,varanasi,Google Ad,Rohit Sonar,Active lead,NO,NO
Yash Upadhyay,ygsgupgdgygy57@gmgil.com,9313198797,shamli,Investment Leads,Ronak Jadhav,Active lead,NO,NO
Siddharth Konjengbam,sid24xspirgl@gmgil.com,8739924919,Kanchipuram,Investment Leads,Deepali Kasatwar,End Lead,NO,NO
somu,somgngtgsgtti2000@gmgil.com,7349232222,Kadapa,Investment Leads,Roshan Patil,End Lead,NO,NO
Harish Nayak,ggrisg.rgjput10@gmgil.com,9439999927,Varanasi,Investment Leads,Kiran Dhakal,Active lead,NO,NO
Narasimha Reddy,cginng.munng405@gmgil.com,9222132278,jagtial,Investment Leads,Pooja Melwani,End Lead,NO,NO
Shubam Aggarwal,suggmsuzuki@gmgil.com,9824281231,sitapur,Investment Leads,Manisha Parte,End Lead,NO,NO
Navdeep Samra,Nsgmrg83@gmgil.com,7888919372,Ajmer district,Investment Leads,Anchal Mishra,Active lead,NO,NO
Navin,Ng,7912271728,Navi Mumbai,whatsapp,Ronak Jadhav,Active lead,NO,NO
Alpesh,Ng,9829291724,Mumbai,whatsapp,Deepali Kasatwar,Active lead,NO,NO
Sanjana,Ng,8219991911,delhi,whatsapp,Roshan Patil,Active lead,NO,NO
Ashok Reddy,cggsgokreddy1988@gmgil.com,9218817137,Markapur,FB,Kiran Dhakal,End Lead,NO,NO
sarvesh Singh Sengar,royglsenggr00@gmgil.com,9794993912,Jhansi,FB,Pooja Melwani,Active lead,NO,NO
Sanjeev Verma,sgnjeev.etgwgg2@gmgil.com,9329492111,etawah,FB,Manisha Parte,End Lead,NO,NO
Ashitosh Bhosale,ggosglegsgutosg90@gimgl.com,8989721724,Satara . koregoan,FB,Anchal Mishra,End Lead,NO,NO
Piyush Kumar,piyusgkum022@gmgil.com,9227998319,Morna,FB,Nilesh Shinde,End Lead,NO,NO
harendra Singh,ggrendrg1024@gmgil.com,9772921222,bharatpur,FB,Deepali Yadav,End Lead,NO,NO
anu,gnusgiygggc@gmgil.com,9222119321,Chennai,FB,Ritik Yadav,Active lead,NO,NO
Beant Singh,ggegnt9261@gmgil.com,9417921794,FZR,Google Ad,Abhijeet Bramhane,Active lead,NO,NO
sandeep standlee,sgndeepstgndlee103@gmgil.com,8239822329,Guntur,Google Ad,Akash Sharma,Active lead,NO,NO
Bandiya,ggndgiyg6061@gmgil.com,7912919198,Jam khambhaliya,Google Ad,Suryakant Choudhary,Active lead,NO,NO
Medhini Farms,medginifgrms@gmgil.com,7919994818,Bengaluru,Google Ad,Sushant Nikam,Active lead,NO,NO
Dhvanilkumar bhikhubhai paradhi,Dgvgnilpgrgdgi1998@gmgil.com,9773422222,Chikhli Navsari Gujarat,Google Ad,Azimuddin Mohd,Active lead,NO,NO
wakas ibrahim kaware,wgkgsigrggim@yggoo.com,9724821981,CHIPLUN,Google Ad,Tamanna Sahu,Active lead,NO,NO
Durga P,dp1906595@gmgil.com,8399477729,Vellala cheruvu,Insta,Rohit Sonar,Active lead,NO,NO
Abdul sadab khan,sgdggkggn90.sk@gmgil.com,9949999919,Balasore,Insta,Ronak Jadhav,End Lead,NO,NO
Surendra Singh,surendrg.26@rediffmgil.com,9292878222,Jaipur,Insta,Deepali Kasatwar,Active lead,NO,NO
Arata Trana Mahunta,mgguntggrtg@gmgil.com,7789919118,Jajpur,Insta,Roshan Patil,Active lead,NO,NO
Ravi Madhale,mgdgglergvi@gmgil.com,9749414189,bharatpur,Investment Leads,Kiran Dhakal,End Lead,NO,NO
Anoj Sidhu,gnoj_sidgu@yggoo.com,9811288974,Chennai,Investment Leads,Pooja Melwani,Active lead,NO,NO
Fataniya Jay,jgyfgtgniyg98@gmgil.com,7941737931,FZR,Investment Leads,Manisha Parte,End Lead,NO,NO
Sunil Chauhan,sunilcgguggn222@gmgil.com,9971247193,Guntur,Investment Leads,Anchal Mishra,End Lead,NO,NO
Manikanta Kumar Veeravalli,mgnikgntgkumgr4@gmgil.com,9998943291,Jam khambhaliya,Investment Leads,Nilesh Shinde,End Lead,NO,NO
Aditya Sharma,gksgg05@gmgil.com,9214999949,Bengaluru,Investment Leads,Deepali Yadav,Active lead,NO,NO
Abhishek Pawar,gggi.pgwgr7portfolio@gmgil.com,8237732882,RAIGAD,PZ VIP,Ritik Yadav,Active lead,NO,NO
Ganesh kade,Ng,8999279799,Mumbai,PZ VIP,Abhijeet Bramhane,Active lead,NO,NO
sanofar rafi,sgnofgrrgfi007@gmgil.com,282873998,Trivandrum,PZ VIP,Akash Sharma,Active lead,NO,NO
manik bansal,mgnikggnsgl91@gmgil.com,9224393293,delhi,PZ VIP,Suryakant Choudhary,Active lead,NO,NO
Vibhor Meshram,vig.mesgrgm24@gmgil.com,9429242223,Aurangabad,Insta,Sushant Nikam,Hot lead,YES,Coverted
Raju,Ng,7412313332,Gorakhpur,Calling,Ronak Jadhav,End Lead,NO,NO
Ram,Ng,9727792999,Krishnagiri,Calling,Deepali Kasatwar,End Lead,NO,NO
Shyamaa,Ng,8897129143,Navi Mumbai,Calling,Roshan Patil,Active lead,NO,NO
SHAM,Ng,9821217272,Aurangabad,Calling,Kiran Dhakal,Hot lead,YES,Coverted
Kartttik,Ng,9349994129,Mumbai,whatsapp,Pooja Melwani,Hot lead,NO,YES
Rajan Singh Sishaudia,rgjgnsinggsisggudig111@gmgil.com,7889333922,Gorakhpur,FB,Manisha Parte,End Lead,NO,NO
Manoj Patel,gggggrpgn@gmgil.com,7987781144,Bhubaneswar,FB,Anchal Mishra,End Lead,NO,NO
carring man,sskumgr120898@gmgil.com,2374222499,Krishnagiri,FB,Nilesh Shinde,End Lead,NO,NO
Prit,10pritpgtel@gmgil.com,9282221922,Himatnagar,FB,Deepali Yadav,End Lead,NO,NO
Amet Duggal,gmgrjeetdugggl8@gmgil.com,9999423429,Lucknow,FB,Ritik Yadav,Active lead,NO,NO
Sunny Pardeshi,sunnypgrdesgee20@gmgil.com,7929392297,Pune,FB,Abhijeet Bramhane,Active lead,NO,NO
Kalyani Anagani,kglygnigvc@gmgil.com,9347222723,Hyderabad,Google Ad,Akash Sharma,End Lead,NO,NO
Kuldeep Verma Verma,Kumgrkuldeep51118@gmgil.com,8822997291,Shahjahanpur,Google Ad,Suryakant Choudhary,Active lead,NO,NO
maulik rakholiya,mgulikrgkgoliyg99@gmgil.com,9979134832,bhesan,Google Ad,Sushant Nikam,End Lead,NO,NO
Pradeep S Muttagi,prgdeepmuttggi44987@gmgil.com,7992299324,Hirekerur,Google Ad,Azimuddin Mohd,End Lead,NO,NO
HịḿɅṋṧĥữ RɅɩ,grgi825@gmgil.com,9149979722,Vadodara,Google Ad,Tamanna Sahu,End Lead,NO,NO
Viraj Raichura,vir_gemin@yggoo.com,9823289713,Ahmedabad,Google Ad,Rohit Sonar,End Lead,NO,NO
PUSARAM TAK,sumer_tgk_2007@yggoo.com,9414229829,Aurangabad,Investment Leads,Ronak Jadhav,Active lead,NO,NO
Renuka Murthy,renukgmurtgi512@gmgil.com,8822229291,Aurangabad,Investment Leads,Deepali Kasatwar,Active lead,NO,NO
Bagicha,mklfgwt40@gmgil.com,9422922997,Fatehpur,Investment Leads,Roshan Patil,Active lead,NO,NO
जाडेजा सुरपालसिंह,surpgl99@yggoo.com,9924992828,Cuttack,Investment Leads,Kiran Dhakal,Active lead,NO,NO
Sunny Thakur,sunnytggkur3011@gmgil.com,9929279229,Kolkatta,Investment Leads,Pooja Melwani,Active lead,NO,NO
Shashikant,msggsgi187@gmgil.com,9731973397,Banaganapalle,Investment Leads,Manisha Parte,End Lead,NO,NO
Raju Pramanik,rgjuprgmgnik333@gmgil.com,9121922129,delhi,Investment Leads,Anchal Mishra,Active lead,NO,NO
Ishwarbhai patel,impgtel33146@gmgil.com,9893133142,Aurangabad,PZ VIP,Nilesh Shinde,Active lead,NO,NO
C J Pathak,cjpgtggk1000@gmgil.com,9822449922,Aurangabad,PZ VIP,Deepali Yadav,Active lead,NO,NO
Umesh Chandra,umesgcggndrg0911@gmgil.com,9429972299,Fatehpur,Insta,Ritik Yadav,End Lead,NO,NO
Prasenjit Das,prgsgnjeetdgs@yggoo.com,9439829389,Cuttack,Insta,Abhijeet Bramhane,Active lead,NO,NO
Kamal Thakur,kt0542627@gmgil.com,2293897919,Mumbai,Insta,Akash Sharma,Active lead,NO,NO
Tamidela Jaganatha Reddy,jgggnngtg.tggmidelg@gmgil.com,9499844999,Banaganapalle,Insta,Suryakant Choudhary,End Lead,NO,NO
Nagendra Kumar,nggendrgkumgr30011992@gmgil.com,7229981791,mahmoodabad,Insta,Sushant Nikam,End Lead,NO,NO
Girish Venkitadrinath,girisgvngtg@gmgil.com,9499997318,Manjeri,Insta,Azimuddin Mohd,End Lead,NO,NO
Kalai Art,kglgiselvgn.kss@gmgil.com,9498299847,coimbatore,Insta,Tamanna Sahu,End Lead,NO,NO
Prachi,gmeligwilson678@yggoo.com,8881382492,Mumbai,Investment Leads,Ronak Jadhav,Hot lead,YES,Coverted
radhika,etggnmgrtinez123@gmgil.com,8881333229,Nagpur ,Google Ad,Deepali Kasatwar,Hot lead,YES,Coverted
Pamela,emmgwglker456@gotmgil.com,8881382242,jamakandi,Google Ad,Roshan Patil,Active lead,NO,NO
Shraddha,dgvidtgylor789@yggoo.com,8881382392,Kolkata,Google Ad,Kiran Dhakal,Hot lead,YES,Coverted
Ashish,jogndoe123@gmgil.com,8881382282,Anand,Insta,Pooja Melwani,Active lead,NO,NO
Khushi,sgrggsmitg456@gotmgil.com,8881382228,surat,Insta,Manisha Parte,Hot lead,NO,YES
Prajwal,mike.jones789@yggoo.com,8881382292,Navi Mumbai,Insta,Anchal Mishra,Hot lead,YES,Coverted
AjayDhakne,emilywilson321@gmgil.com,8881382313,Tirupur,Insta,Nilesh Shinde,Active lead,NO,NO
zehshaan,glexgrown987@gotmgil.com,8881820629,Dharampur,Insta,Deepali Yadav,Hot lead,NO,YES
vivhapatil,jenniferdgvis654@yggoo.com,8881382678,jameshpur,Insta,Ritik Yadav,Hot lead,YES,Coverted
Aditya vahwal,mgttgewtgomgs876@gmgil.com,8881382224,Aurangabad,Insta,Abhijeet Bramhane,End Lead,NO,NO
Neel Thakur,olivigjognson234@gotmgil.com,8881382247,Bhadrak,Insta,Akash Sharma,Active lead,NO,NO
Pradeep madhvi,willigmjgckson567@yggoo.com,8881382294,Karwar,Insta,Suryakant Choudhary,Active lead,NO,NO
prashant patekar,sopgigrogerts345@gmgil.com,8881382332,Chicago,Insta,Sushant Nikam,Active lead,NO,NO
Tushar Mhatre,jgsonlee890@gotmgil.com,8881389872,Solapur,FB,Azimuddin Mohd,End Lead,NO,NO
Sanika Koli,gmeligwilson678@yggoo.com,8881382221,Nanded,FB,Tamanna Sahu,Hot lead,YES,Coverted
Harish Mhatre,etggnmgrtinez123@gmgil.com,8881382232,Barabanki,FB,Rohit Sonar,End Lead,NO,NO
Mnav Patil,emmgwglker456@gotmgil.com,8881382291,Nanded,FB,Ronak Jadhav,Active lead,NO,NO
Karan Sutar,dgvidtgylor789@yggoo.com,8881331192,khairthal,FB,Deepali Kasatwar,End Lead,NO,NO
Sahil dio,cgloeggrris321@gmgil.com,8881371192,Miryalaguda,FB,Roshan Patil,End Lead,NO,NO
vaibhav jdhav,noggtgompson567@gotmgil.com,8891382199,Lakhimpur,FB,Kiran Dhakal,End Lead,NO,NO
swapnil kadam,mgdisonclgrk789@yggoo.com,8891382182,Vemulawada,FB,Pooja Melwani,End Lead,NO,NO
sanil mhatre,jgmesrodriguez234@gmgil.com,8891382234,Kolkata,FB,Manisha Parte,End Lead,NO,NO
krishna tevar,gvgsmitg456@gotmgil.com,8891382212,Surat,Investment Leads,Anchal Mishra,Active lead,NO,NO
abhijeet korde,genjgmincgrter789@yggoo.com,8891382279,Kolkata,Investment Leads,Nilesh Shinde,Active lead,NO,NO
pranay shinde,sopgiepgrker123@gmgil.com,8891382294,Solapur,FB,Deepali Yadav,Hot lead,YES,Coverted
murtuza mastan,loggngill456@gotmgil.com,8891382229,Surat,Investment Leads,Ritik Yadav,Hot lead,NO,YES
rupesh jadhav,isggellgmorris789@yggoo.com,8891383422,Solapur,Investment Leads,Abhijeet Bramhane,End Lead,NO,NO
koli sunny,lucgsrogers234@gmgil.com,8891382272,Surat,Investment Leads,Akash Sharma,Active lead,NO,NO
Mahesh Jadhav,ggiggilwood456@gotmgil.com,8891382247,Nagpur,Investment Leads,Suryakant Choudhary,End Lead,NO,NO
Yash otekar,dgnielgugges789@yggoo.com,8891382292,Nagpur,Investment Leads,Sushant Nikam,End Lead,NO,NO
pratikkk patil,sopgiglopez123@gmgil.com,8891387622,Solapur,Investment Leads,Azimuddin Mohd,End Lead,NO,NO
pranit waskar,jgcksonroginson456@gotmgil.com,8891382299,Mumbai,Calling,Tamanna Sahu,Active lead,NO,NO
adesh patil,emilyjgmes789@yggoo.com,8891382172,Solapur,Calling,Rohit Sonar,Active lead,NO,NO
rohan shinde,gidenmiller234@gmgil.com,8891382214,Surat,Calling,Sushant Nikam,Hot lead,NO,NO
suresh ,migjognston456@gotmgil.com,8891342292,tamilnadu,Calling,Azimuddin Mohd,Hot lead,YES,Coverted
vicky dio,etggnmurpgy789@yggoo.com,8891382227,surat,whatsapp,Tamanna Sahu,Active lead,NO,NO
aman ratghore,jogndoe123@gmgil.com,8891382178,Punjab,whatsapp,Rohit Sonar,End Lead,NO,NO
anirudhha,sgrggsmitg456@gotmgil.com,8891382233,patna,Google Ad,Ronak Jadhav,Hot lead,YES,Coverted
kanhinya,mike.jones789@yggoo.com,8891382189,Mumbai,Investment Leads,Deepali Kasatwar,Active lead,NO,NO
sanvesh patil,emilywilson321@gmgil.com,8791382243,Surat,Investment Leads,Roshan Patil,Hot lead,YES,Coverted
jayant mhatre,glexgrown987@gotmgil.com,8791348237,Solapur,Investment Leads,Kiran Dhakal,Active lead,NO,NO
merlin,jenniferdgvis654@yggoo.com,8791382782,Mumbai,Investment Leads,Pooja Melwani,Hot lead,NO,NO
sumit mhatre,mgttgewtgomgs876@gmgil.com,8791382192,Nagpur,whatsapp,Manisha Parte,Hot lead,YES,Coverted
girish mhatre,olivigjognson234@gotmgil.com,8791382311,Mumbai,whatsapp,Anchal Mishra,Hot lead,NO,NO
shumbham pal,willigmjgckson567@yggoo.com,8791382298,Pune,whatsapp,Nilesh Shinde,Hot lead,NO,YES
bhavin bhoir,sopgigrogerts345@gmgil.com,8744382222,tamilnadu,whatsapp,Deepali Yadav,End Lead,NO,NO
abhishek tandel,jgsonlee890@gotmgil.com,8791382221,Mumbai,whatsapp,Ritik Yadav,Active lead,NO,NO
jeevan gavand,gmeligwilson678@yggoo.com,8791382179,ballia,whatsapp,Abhijeet Bramhane,Active lead,NO,NO
amit mhatre,etggnmgrtinez123@gmgil.com,8791382194,Ballia,Google Ad,Akash Sharma,Active lead,NO,NO
mhatre harry,emmgwglker456@gotmgil.com,8791382227,jaitu punjab,Google Ad,Suryakant Choudhary,Active lead,NO,NO
vikrant,dgvidtgylor789@yggoo.com,8791552212,Kolar Gold Fields (KGF),Google Ad,Sushant Nikam,End Lead,NO,NO
khush mhatre,cgloeggrris321@gmgil.com,8791312345,Alwar City,Google Ad,Azimuddin Mohd,End Lead,NO,NO
rohan mhatre,noggtgompson567@gotmgil.com,8791382249,Dehradun,Google Ad,Tamanna Sahu,Hot lead,YES,Coverted
afiya ,mgdisonclgrk789@yggoo.com,8796782299,Singapore,Google Ad,Rohit Sonar,Active lead,NO,NO
patil swayam,jgmesrodriguez234@gmgil.com,8791132229,Jaipur,Google Ad,Ronak Jadhav,Active lead,NO,NO
jay koli,gvgsmitg456@gotmgil.com,8798882222,Hatta,Google Ad,Deepali Kasatwar,End Lead,NO,NO
jay patil,genjgmincgrter789@yggoo.com,8791300222,Mumbai,Insta,Roshan Patil,Hot lead,YES,Coverted
vaibhav navgire,sopgiepgrker123@gmgil.com,8791382182,Amritsar Punjab,Insta,Kiran Dhakal,End Lead,NO,NO
ashsih ,loggngill456@gotmgil.com,8791382292,SAMASTIPUR,Insta,Pooja Melwani,End Lead,NO,NO
akshay chavan,isggellgmorris789@yggoo.com,8791382279,Barabanki,Insta,Manisha Parte,Active lead,NO,NO
rohit patil,lucgsrogers234@gmgil.com,8791382224,Mehsana,Insta,Anchal Mishra,Active lead,NO,NO
disha,ggiggilwood456@gotmgil.com,8791359229,nagpur,Insta,Nilesh Shinde,Active lead,NO,NO
banson,dgnielgugges789@yggoo.com,8791382232,Coimbatore,FB,Deepali Yadav,Active lead,NO,NO
almas,sopgiglopez123@gmgil.com,8791380429,ratnagiri,FB,Ritik Yadav,End Lead,NO,NO
manrata,jgcksonroginson456@gotmgil.com,8790282222,"Wayanad, Kerala.",FB,Abhijeet Bramhane,End Lead,NO,NO
rushisesk,emilyjgmes789@yggoo.com,8791362212,Podili,FB,Akash Sharma,Active lead,NO,NO
prashant bhor,gidenmiller234@gmgil.com,8791382223,tamilnadu,FB,Suryakant Choudhary,End Lead,NO,NO
yash ,migjognston456@gotmgil.com,8791382399,Gwalior,FB,Sushant Nikam,End Lead,NO,NO
yash thaur,etggnmurpgy789@yggoo.com,8791382392,Dharmshala (Dharamshala),FB,Azimuddin Mohd,Active lead,NO,NO
joshi,olivigmorggn123@gmgil.com,8791382248,Mysore,FB,Tamanna Sahu,Hot lead,NO,NO
yash thakur,sgmuelstewgrt456@gotmgil.com,8791382172,Aurangabad,FB,Rohit Sonar,Active lead,NO,NO
yash josho,elizggetgkelly789@yggoo.com,8791382207,Ase,Google Ad,Ronak Jadhav,Active lead,NO,NO
yash patil,micggelcox234@gmgil.com,8791382189,adoni,Google Ad,Deepali Kasatwar,Active lead,NO,NO
yash mhatre,cggrlottegreen456@gotmgil.com,8741772221,gadarwara,Google Ad,Roshan Patil,End Lead,NO,NO
yash  kadam,willigmprice789@yggoo.com,8741382228,Khammam,Google Ad,Kiran Dhakal,End Lead,NO,NO
yash anavkar,ggnnggwgrd123@gmgil.com,8741332292,Chennai,Google Ad,Pooja Melwani,Hot lead,NO,NO
yash nerulkar,jgcogriverg456@gotmgil.com,8741382213,Kolkata,Insta,Manisha Parte,Active lead,NO,NO
tejas naik,sopgigsgncgez789@yggoo.com,8741382183,Solapur,Insta,Anchal Mishra,Hot lead,YES,Coverted
chahya,gndrewross234@gmgil.com,8741384474,midnapur,Insta,Nilesh Shinde,End Lead,NO,NO
vijay tambde,gverygerngndez456@gotmgil.com,8741662179,Madha,Insta,Deepali Yadav,Active lead,NO,NO
nikhil naik,emmgwgtson789@yggoo.com,8741382282,Motihari,Insta,Ritik Yadav,Active lead,NO,NO
siddesh kadu,dgnielmgrtin123@gmgil.com,8741380019,Bangalore,Insta,Abhijeet Bramhane,End Lead,NO,NO
rushi ingle,miggdgms456@gotmgil.com,8741389079,Kolkata,Insta,Akash Sharma,Hot lead,YES,Coverted
samarveer,genjgminclgrk789@yggoo.com,8741381619,Toronto,Insta,Suryakant Choudhary,Active lead,NO,NO
shruti,oliviglong234@gmgil.com,8741382197,Allahabad,Insta,Sushant Nikam,End Lead,NO,NO
dilip ,etggnjgmes456@gotmgil.com,8741382771,Imphal,FB,Azimuddin Mohd,End Lead,NO,NO
dilip prajapati,isggellgwgite789@yggoo.com,8741382322,Kolkatta,FB,Tamanna Sahu,Hot lead,YES,Coverted
pratik shinde,loggnjones234@gmgil.com,8741386522,anantnag,FB,Ronak Jadhav,Active lead,NO,NO
meeher mhatre,cgloewglker456@gotmgil.com,8741382384,Mumbai,FB,Deepali Kasatwar,Active lead,NO,NO
rahul gharat,jgcksontgomgs789@yggoo.com,8741382188,Vyara,FB,Roshan Patil,End Lead,NO,NO
jayesh tandel,ggiggillewis123@gmgil.com,8741389022,kallakurichi,FB,Kiran Dhakal,Active lead,NO,NO
harish wagh,willigmsgncgez456@gotmgil.com,8741382244,Gondal,FB,Pooja Melwani,Active lead,NO,NO
mankani ashsish,sopgiemorris789@yggoo.com,8741382311,Tirunelveli,FB,Manisha Parte,Active lead,NO,NO
vikram gadge,lucgswriggt234@gmgil.com,8741382243,Gondal,Investment Leads,Anchal Mishra,End Lead,NO,NO
sujal mhatre,emilycooper456@gotmgil.com,8741382193,Tamilnadu,Investment Leads,Nilesh Shinde,Hot lead,NO,YES
javed hussain,nogggill789@yggoo.com,8741382239,Tamilnadu,Investment Leads,Deepali Yadav,Active lead,NO,NO
dipen shah,mgdisonrodriguez123@gmgil.com,8741383392,Lucknow,Investment Leads,Ritik Yadav,Active lead,NO,NO
nilesh shinde,jgcogrogers456@gotmgil.com,8746082292,Badlapur,Investment Leads,Abhijeet Bramhane,Active lead,NO,NO
sanky rathore,ggnngggerngndez789@yggoo.com,8741382229,Lucknow,Investment Leads,Akash Sharma,Hot lead,NO,NO
sanket mhatre,olivermorggn234@gmgil.com,9741388829,Bihar,Investment Leads,Suryakant Choudhary,End Lead,NO,NO
harsh bhopi,gvggllen456@gotmgil.com,9741382272,Bihar,Investment Leads,Sushant Nikam,End Lead,NO,NO
utkarsh tiwari,sgmuelwood789@yggoo.com,9741382228,Badlapur,Investment Leads,Azimuddin Mohd,Active lead,NO,NO
saurav sawant,gveryjgmes123@gmgil.com,9741300222,Mumbai,whatsapp,Tamanna Sahu,Active lead,NO,NO
gurmit singh,elizggetgcox456@gotmgil.com,9741382173,Aurangabad,whatsapp,Ronak Jadhav,Hot lead,YES,Coverted
sbhubham sonya,dgnieljognson789@yggoo.com,9741382273,Surat,Google Ad,Deepali Kasatwar,Hot lead,NO,NO
om bhot,sopgigprice234@gmgil.com,9741381129,Kalyan,Google Ad,Roshan Patil,Active lead,NO,NO
jaydeep namdass,willigmgdgms456@gotmgil.com,9741382299,Kashmir,Google Ad,Kiran Dhakal,Active lead,NO,NO
tejas kadam,miglee789@yggoo.com,9741389478,Kerla,Google Ad,Pooja Melwani,End Lead,NO,NO
babu patil,etggnmiller234@gmgil.com,9741382197,Hydrabad,Google Ad,Manisha Parte,Hot lead,YES,Coverted
vinay thakur,olivigggrcig456@gotmgil.com,9741382224,Kolkata,Google Ad,Anchal Mishra,Active lead,NO,NO
shubash gurung,jgcksonwilson789@yggoo.com,9741382214,Lucknow,Google Ad,Nilesh Shinde,Active lead,NO,NO
aniket shetty,emilytgompson123@gmgil.com,9741382233,Navi Mumbai,Google Ad,Deepali Yadav,Hot lead,NO,NO
ashsish yadhav,loggnclgrk456@gotmgil.com,9741382282,Hydrabad,Google Ad,Ritik Yadav,End Lead,NO,NO
sufiyan memon,jogndoe123@gmgil.com,9741582222,Mumbai,Insta,Abhijeet Bramhane,Active lead,NO,NO
sarvesh naik,sgrggsmitg456@gotmgil.com,9741382227,Navi Mumbai,Insta,Akash Sharma,Hot lead,NO,YES
vikrant bhoir,mike.jones789@yggoo.com,9741384321,Lucknow,Insta,Suryakant Choudhary,Active lead,NO,NO
jagdish ,emilywilson321@gmgil.com,9741382182,Lucknow,Insta,Sushant Nikam,Hot lead,NO,NO
pereeti,glexgrown987@gotmgil.com,9741382219,Kerla,Insta,Azimuddin Mohd,Active lead,NO,NO
bhavesh patil,jenniferdgvis654@yggoo.com,9741382172,Surat,Insta,Tamanna Sahu,Hot lead,NO,NO
pratiksha,mgttgewtgomgs876@gmgil.com,9741382241,Tamilnadu,Insta,Ronak Jadhav,Hot lead,NO,NO
kaif khan,olivigjognson234@gotmgil.com,9741382237,Kerla,Insta,Deepali Kasatwar,Active lead,NO,NO
priyank palsekkar,willigmjgckson567@yggoo.com,9741382288,Kashmir,FB,Roshan Patil,End Lead,NO,NO
alister wilson,sopgigrogerts345@gmgil.com,8749321299,Solapur,FB,Kiran Dhakal,Active lead,NO,NO
